,Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Alpha3 code,Region,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Continent
155,Tanzania,39440.0,845.0,,,,7.0,623.0,13.0,,,63298550.0,TZA,Sub-Saharan Africa,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396,Africa
156,Togo,39034.0,285.0,,38528.0,221.0,,4497.0,33.0,791865.0,91220.0,8680837.0,TGO,Sub-Saharan Africa,56785,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.395,0.204,0.401,Africa
157,Isle of Man,38008.0,116.0,,,,,443335.0,1353.0,150753.0,1758422.0,85732.0,IMN,Western Europe,572,131.9,27.97,5.36,5.93,21000.0,,676.0,9.0,0.0,91.0,3.0,11.05,11.19,0.01,0.13,0.86,Europe
158,Guinea,37652.0,449.0,,36880.0,323.0,8.0,2715.0,32.0,660107.0,47607.0,13865691.0,GIN,Sub-Saharan Africa,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.362,0.401,Africa
159,Bahamas,37267.0,833.0,,36070.0,364.0,2.0,93047.0,2080.0,248846.0,621314.0,400516.0,BHS,Latin Amer. & Carib,13940,21.8,25.41,-2.2,25.21,16700.0,95.6,460.6,0.8,0.4,98.8,2.0,17.57,9.05,0.03,0.07,0.9,North America
160,Faroe Islands,34658.0,28.0,,,,5.0,703959.0,569.0,778000.0,15802409.0,49233.0,FRO,Western Europe,1399,33.8,79.84,1.41,6.24,22000.0,,503.8,2.14,0.0,97.86,,14.05,8.7,0.27,0.11,0.62,Europe
161,Lesotho,34490.0,706.0,,25980.0,7804.0,,15852.0,324.0,431221.0,198199.0,2175699.0,LSO,Sub-Saharan Africa,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,3.0,24.75,28.71,0.163,0.443,0.394,Africa
162,Haiti,33733.0,857.0,,31307.0,1569.0,,2888.0,73.0,132422.0,11337.0,11680283.0,HTI,Latin Amer. & Carib,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,28.3,11.61,60.09,2.0,36.44,12.17,0.28,0.2,0.52,North America
163,Mali,32625.0,742.0,,31591.0,292.0,,1519.0,35.0,759178.0,35354.0,21473764.0,MLI,Sub-Saharan Africa,1240000,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,2.0,49.82,16.89,0.45,0.17,0.38,Africa
164,Cayman Islands,30661.0,32.0,,8553.0,22076.0,1.0,455743.0,476.0,222773.0,3311280.0,67277.0,CYM,Latin Amer. & Carib,262,173.4,61.07,18.75,8.19,35000.0,98.0,836.3,3.85,0.0,96.15,2.0,12.74,4.89,0.014,0.032,0.954,North America
